Sample Name	Protocol REF	Parameter Value[QA Instrument]	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Raw Data/FastQC Reports]	Parameter Value[Raw Data/MultiQC Reports]	Parameter Value[trimmed sequence data]	Parameter Value[Trimmed Sequence Data/FastQC Reports]	Parameter Value[Trimmed Sequence Data/MultiQC Reports]	Parameter Value[Trimmed Sequence Data/Trimming Reports]	Parameter Value[aligned sequence data]	Parameter Value[Raw Counts Data]	Parameter Value[Normalized Counts Data]	Parameter Value[differential expression analysis data]	Protocol REF	Parameter Value[Merged Sequence Data]	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
5.4	Nucleic Acid Extraction	Agilent Bioanalyzer	9.6	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	5.4	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_5_4_S35_L001_R1_001.fastq.gz,GLDS-554_rna-seq_5_4_S35_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_5_4_S35_L001_R1_001_fastqc.html,GLDS-554_rna-seq_5_4_S35_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_5_4_S35_L001_R2_001_fastqc.html,GLDS-554_rna-seq_5_4_S35_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_5_4_S35_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_5_4_S35_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_5_4_S35_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_5_4_S35_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_5_4_S35_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_5_4_S35_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_5_4_S35_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_5_4_S35_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_5_4_S35_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_5_4_S35_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_5_4_S35_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_5_4_S35_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_5_4_S35_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_5_4_S35_L001_R2_raw.fastq.gz	21120027	read	SO	http://purl.obolibrary.org/obo/SO_0000150	36.43	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
G4.1	Nucleic Acid Extraction	Agilent Bioanalyzer	8.7	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	G4.1	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_G4_1_S27_L001_R1_001.fastq.gz,GLDS-554_rna-seq_G4_1_S27_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_G4_1_S27_L001_R1_001_fastqc.html,GLDS-554_rna-seq_G4_1_S27_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_G4_1_S27_L001_R2_001_fastqc.html,GLDS-554_rna-seq_G4_1_S27_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_G4_1_S27_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_G4_1_S27_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_G4_1_S27_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_G4_1_S27_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_G4_1_S27_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_G4_1_S27_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_G4_1_S27_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_G4_1_S27_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_G4_1_S27_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_G4_1_S27_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_G4_1_S27_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_G4_1_S27_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_G4_1_S27_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_G4_1_S27_L001_R2_raw.fastq.gz	12082427	read	SO	http://purl.obolibrary.org/obo/SO_0000150	56.68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
G4.2	Nucleic Acid Extraction	Agilent Bioanalyzer	9.2	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	G4.2	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_G4_2_S2_L001_R1_001.fastq.gz,GLDS-554_rna-seq_G4_2_S2_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_G4_2_S2_L001_R1_001_fastqc.html,GLDS-554_rna-seq_G4_2_S2_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_G4_2_S2_L001_R2_001_fastqc.html,GLDS-554_rna-seq_G4_2_S2_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_G4_2_S2_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_G4_2_S2_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_G4_2_S2_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_G4_2_S2_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_G4_2_S2_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_G4_2_S2_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_G4_2_S2_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_G4_2_S2_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_G4_2_S2_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_G4_2_S2_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_G4_2_S2_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_G4_2_S2_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_G4_2_S2_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_G4_2_S2_L001_R2_raw.fastq.gz	12705255	read	SO	http://purl.obolibrary.org/obo/SO_0000150	48.33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
G4.3	Nucleic Acid Extraction	Agilent Bioanalyzer	8.1	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	G4.3	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_G4_3_S28_L001_R1_001.fastq.gz,GLDS-554_rna-seq_G4_3_S28_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_G4_3_S28_L001_R1_001_fastqc.html,GLDS-554_rna-seq_G4_3_S28_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_G4_3_S28_L001_R2_001_fastqc.html,GLDS-554_rna-seq_G4_3_S28_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_G4_3_S28_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_G4_3_S28_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_G4_3_S28_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_G4_3_S28_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_G4_3_S28_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_G4_3_S28_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_G4_3_S28_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_G4_3_S28_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_G4_3_S28_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_G4_3_S28_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_G4_3_S28_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_G4_3_S28_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_G4_3_S28_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_G4_3_S28_L001_R2_raw.fastq.gz	17318823	read	SO	http://purl.obolibrary.org/obo/SO_0000150	53.37	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
G4.4	Nucleic Acid Extraction	Agilent Bioanalyzer	Not Available				G4.4	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_G4_4_S3_L001_R1_001.fastq.gz,GLDS-554_rna-seq_G4_4_S3_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_G4_4_S3_L001_R1_001_fastqc.html,GLDS-554_rna-seq_G4_4_S3_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_G4_4_S3_L001_R2_001_fastqc.html,GLDS-554_rna-seq_G4_4_S3_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_G4_4_S3_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_G4_4_S3_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_G4_4_S3_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_G4_4_S3_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_G4_4_S3_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_G4_4_S3_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_G4_4_S3_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_G4_4_S3_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_G4_4_S3_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_G4_4_S3_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_G4_4_S3_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_G4_4_S3_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_G4_4_S3_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_G4_4_S3_L001_R2_raw.fastq.gz	18108223	read	SO	http://purl.obolibrary.org/obo/SO_0000150	76.23	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
G4.6	Nucleic Acid Extraction	Agilent Bioanalyzer	7.6	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	G4.6	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_G4_6_S29_L001_R1_001.fastq.gz,GLDS-554_rna-seq_G4_6_S29_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_G4_6_S29_L001_R1_001_fastqc.html,GLDS-554_rna-seq_G4_6_S29_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_G4_6_S29_L001_R2_001_fastqc.html,GLDS-554_rna-seq_G4_6_S29_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_G4_6_S29_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_G4_6_S29_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_G4_6_S29_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_G4_6_S29_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_G4_6_S29_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_G4_6_S29_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_G4_6_S29_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_G4_6_S29_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_G4_6_S29_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_G4_6_S29_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_G4_6_S29_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_G4_6_S29_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_G4_6_S29_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_G4_6_S29_L001_R2_raw.fastq.gz	13537314	read	SO	http://purl.obolibrary.org/obo/SO_0000150	56.36	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
G4.7	Nucleic Acid Extraction	Agilent Bioanalyzer	Not Available				G4.7	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_G4_7_S30_L001_R1_001.fastq.gz,GLDS-554_rna-seq_G4_7_S30_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_G4_7_S30_L001_R1_001_fastqc.html,GLDS-554_rna-seq_G4_7_S30_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_G4_7_S30_L001_R2_001_fastqc.html,GLDS-554_rna-seq_G4_7_S30_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_G4_7_S30_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_G4_7_S30_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_G4_7_S30_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_G4_7_S30_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_G4_7_S30_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_G4_7_S30_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_G4_7_S30_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_G4_7_S30_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_G4_7_S30_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_G4_7_S30_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_G4_7_S30_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_G4_7_S30_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_G4_7_S30_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_G4_7_S30_L001_R2_raw.fastq.gz	17675173	read	SO	http://purl.obolibrary.org/obo/SO_0000150	56.48	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
G4.8	Nucleic Acid Extraction	Agilent Bioanalyzer	Not Available				G4.8	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_G4_8_S31_L001_R1_001.fastq.gz,GLDS-554_rna-seq_G4_8_S31_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_G4_8_S31_L001_R1_001_fastqc.html,GLDS-554_rna-seq_G4_8_S31_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_G4_8_S31_L001_R2_001_fastqc.html,GLDS-554_rna-seq_G4_8_S31_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_G4_8_S31_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_G4_8_S31_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_G4_8_S31_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_G4_8_S31_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_G4_8_S31_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_G4_8_S31_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_G4_8_S31_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_G4_8_S31_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_G4_8_S31_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_G4_8_S31_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_G4_8_S31_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_G4_8_S31_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_G4_8_S31_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_G4_8_S31_L001_R2_raw.fastq.gz	27963858	read	SO	http://purl.obolibrary.org/obo/SO_0000150	70.2	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
G5.1	Nucleic Acid Extraction	Agilent Bioanalyzer	Not Available				G5.1	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_G5_1_S36_L001_R1_001.fastq.gz,GLDS-554_rna-seq_G5_1_S36_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_G5_1_S36_L001_R1_001_fastqc.html,GLDS-554_rna-seq_G5_1_S36_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_G5_1_S36_L001_R2_001_fastqc.html,GLDS-554_rna-seq_G5_1_S36_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_G5_1_S36_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_G5_1_S36_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_G5_1_S36_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_G5_1_S36_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_G5_1_S36_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_G5_1_S36_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_G5_1_S36_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_G5_1_S36_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_G5_1_S36_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_G5_1_S36_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_G5_1_S36_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_G5_1_S36_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_G5_1_S36_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_G5_1_S36_L001_R2_raw.fastq.gz	10932535	read	SO	http://purl.obolibrary.org/obo/SO_0000150	60.25	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
G5.2	Nucleic Acid Extraction	Agilent Bioanalyzer	Not Available				G5.2	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_G5_2_S4_L001_R1_001.fastq.gz,GLDS-554_rna-seq_G5_2_S4_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_G5_2_S4_L001_R1_001_fastqc.html,GLDS-554_rna-seq_G5_2_S4_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_G5_2_S4_L001_R2_001_fastqc.html,GLDS-554_rna-seq_G5_2_S4_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_G5_2_S4_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_G5_2_S4_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_G5_2_S4_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_G5_2_S4_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_G5_2_S4_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_G5_2_S4_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_G5_2_S4_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_G5_2_S4_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_G5_2_S4_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_G5_2_S4_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_G5_2_S4_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_G5_2_S4_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_G5_2_S4_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_G5_2_S4_L001_R2_raw.fastq.gz	11263270	read	SO	http://purl.obolibrary.org/obo/SO_0000150	72.24	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
G5.3	Nucleic Acid Extraction	Agilent Bioanalyzer	Not Available				G5.3	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_G5_3_S5_L001_R1_001.fastq.gz,GLDS-554_rna-seq_G5_3_S5_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_G5_3_S5_L001_R1_001_fastqc.html,GLDS-554_rna-seq_G5_3_S5_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_G5_3_S5_L001_R2_001_fastqc.html,GLDS-554_rna-seq_G5_3_S5_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_G5_3_S5_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_G5_3_S5_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_G5_3_S5_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_G5_3_S5_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_G5_3_S5_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_G5_3_S5_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_G5_3_S5_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_G5_3_S5_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_G5_3_S5_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_G5_3_S5_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_G5_3_S5_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_G5_3_S5_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_G5_3_S5_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_G5_3_S5_L001_R2_raw.fastq.gz	9614571	read	SO	http://purl.obolibrary.org/obo/SO_0000150	57.64	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
